centro,statistica,mean
gadgetsArea,delay,1.003
gadgetsArea,delay,0.725
gadgetsArea,delay,1.243
gadgetsArea,delay,0.768
gadgetsArea,delay,1.121
gadgetsArea,delay,0.638
gadgetsArea,delay,0.857
gadgetsArea,delay,0.720
gadgetsArea,delay,0.769
gadgetsArea,delay,0.721
gadgetsArea,delay,0.629
gadgetsArea,delay,0.952
gadgetsArea,delay,0.803
gadgetsArea,delay,0.938
gadgetsArea,delay,0.556
gadgetsArea,delay,1.034
gadgetsArea,delay,0.857
gadgetsArea,delay,0.826
gadgetsArea,delay,1.133
gadgetsArea,delay,0.651
gadgetsArea,delay,0.896
gadgetsArea,delay,0.591
gadgetsArea,delay,0.738
gadgetsArea,delay,0.916
gadgetsArea,delay,0.657
gadgetsArea,delay,0.912
gadgetsArea,delay,0.678
gadgetsArea,delay,0.990
gadgetsArea,delay,0.806
gadgetsArea,delay,0.664
gadgetsArea,delay,1.008
gadgetsArea,delay,0.991
gadgetsArea,delay,0.587
gadgetsArea,delay,0.835
gadgetsArea,delay,1.276
gadgetsArea,delay,0.732
gadgetsArea,delay,1.014
gadgetsArea,delay,1.239
gadgetsArea,delay,1.373
gadgetsArea,delay,0.909
gadgetsArea,delay,0.562
gadgetsArea,delay,0.546
gadgetsArea,delay,0.924
gadgetsArea,delay,0.586
gadgetsArea,delay,0.766
gadgetsArea,delay,0.918
gadgetsArea,delay,0.971
gadgetsArea,delay,0.661
gadgetsArea,delay,0.809
gadgetsArea,delay,1.491
gadgetsArea,delay,0.910
gadgetsArea,delay,0.929
gadgetsArea,delay,1.048
gadgetsArea,delay,0.796
gadgetsArea,delay,1.230
gadgetsArea,delay,0.784
gadgetsArea,delay,0.881
gadgetsArea,delay,1.173
gadgetsArea,delay,0.737
gadgetsArea,delay,0.662
gadgetsArea,delay,1.352
gadgetsArea,delay,0.966
gadgetsArea,delay,0.900
gadgetsArea,delay,0.538
gadgetsArea,delay,0.636
gadgetsArea,delay,1.070
gadgetsArea,delay,0.699
gadgetsArea,delay,0.515
gadgetsArea,delay,0.791
gadgetsArea,delay,0.782
gadgetsArea,delay,0.697
gadgetsArea,delay,0.532
gadgetsArea,delay,0.826
gadgetsArea,delay,0.807
gadgetsArea,delay,0.765
gadgetsArea,delay,0.926
gadgetsArea,delay,0.740
gadgetsArea,delay,0.722
gadgetsArea,delay,1.235
gadgetsArea,delay,1.934
gadgetsArea,delay,0.830
gadgetsArea,delay,0.812
gadgetsArea,delay,0.937
gadgetsArea,delay,0.697
gadgetsArea,delay,0.607
gadgetsArea,delay,0.752
gadgetsArea,delay,1.190
gadgetsArea,delay,0.872
gadgetsArea,delay,1.008
gadgetsArea,delay,0.657
gadgetsArea,delay,0.615
gadgetsArea,delay,1.174
gadgetsArea,delay,0.993
gadgetsArea,delay,1.112
gadgetsArea,delay,0.853
gadgetsArea,delay,0.663
gadgetsArea,delay,0.878
gadgetsArea,delay,0.728
gadgetsArea,delay,0.614
gadgetsArea,delay,0.604
gadgetsArea,delay,0.881
gadgetsArea,delay,1.161
gadgetsArea,delay,0.730
gadgetsArea,delay,1.089
gadgetsArea,delay,0.821
